Index,ID,Inbox,From,Subject,Date,Page,Body Text,HTML File,Extracted Links,Extracted Codes,Scraped At
1,"e_ZwLjBQVjZGRlZQH1ZQNjAmL4AwZ5ZN==","wealifytester@yopmail.com","[Khẩn] Xác minh tài khoản của bạn trong 24h","[Khẩn] Xác minh tài khoản của bạn trong 24h","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): Wealify Security <no-reply@wea1ify-support.com> Email id: EM-0129 Thời điểm CSV: 2026-08-10 08:12  Bấm link xác minh nếu không tài khoản sẽ bị khoá  Yêu cầu xác minh khẩn  Tài khoản của bạn sẽ bị khoá nếu không xác minh trong 24 giờ.  Bấm vào đây để xác minh ngay","html/mail_001_e_ZwLjBQVjZGRlZQH1ZQNjAmL4AwZ5ZN.html","https://wea1ify-support.com/verify?ref=EM-0129","0129; 2026","2026-08-21T04:25:06.367Z"
2,"e_ZwLjBQVjZGRlZQHkZQNjAmL4AGHmAN==","wealifytester@yopmail.com","Order confirmation - Shopee","Order confirmation - Shopee","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@shopee.com Email id: EM-0128 Thời điểm CSV: 2026-04-24 15:27  Thanks  Giao dịch thẻ  CSV id: CD-0201 Wealify order_no: WLF15-CD-0201 Thẻ: VC04 Loại: purchase Merchant: SHOPEE *ORDER Số tiền: 192.52 EUR (~207.92 USD) Trạng thái CSV: success Mô tả: Shopee","html/mail_002_e_ZwLjBQVjZGRlZQHkZQNjAmL4AGHmAN.html","","0128; 2026; 0201","2026-08-21T04:25:07.075Z"
3,"e_ZwLjBQVjZGRlZQD4ZQNjAmL4AGNjBN==","wealifytester@yopmail.com","Order confirmation - Shopee","Order confirmation - Shopee","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@shopee.com Email id: EM-0127 Thời điểm CSV: 2026-07-30 12:18  Thanks  Giao dịch thẻ  CSV id: CD-0199 Wealify order_no: WLF15-CD-0199 Thẻ: VC04 Loại: purchase Merchant: SHOPEE *ORDER Số tiền: 45.24 EUR (~48.86 USD) Trạng thái CSV: success Mô tả: Shopee","html/mail_003_e_ZwLjBQVjZGRlZQD4ZQNjAmL4AGNjBN.html","","0127; 2026; 0199","2026-08-21T04:25:07.781Z"
4,"e_ZwLjBQVjZGRlZQD2ZQNjAmL4AQH4ZD==","wealifytester@yopmail.com","Order confirmation - The Coffee House","Order confirmation - The Coffee House","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@the.com Email id: EM-0126 Thời điểm CSV: 2026-07-20 00:44  Thanks  Giao dịch thẻ  CSV id: CD-0197 Wealify order_no: WLF15-CD-0197 Thẻ: VC04 Loại: purchase Merchant: SQ *THE COFFEE HOUSE Số tiền: 27.99 EUR (~30.23 USD) Trạng thái CSV: success Mô tả: The Coffee House","html/mail_004_e_ZwLjBQVjZGRlZQD2ZQNjAmL4AQH4ZD.html","","0126; 2026; 0197","2026-08-21T04:25:08.489Z"
5,"e_ZwLjBQVjZGRkZmV3ZQNjAmH5ZmL0ZD==","wealifytester@yopmail.com","Order confirmation - Grab","Order confirmation - Grab","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@grab.com Email id: EM-0124 Thời điểm CSV: 2026-03-31 22:01  Thanks  Giao dịch thẻ  CSV id: CD-0187 Wealify order_no: WLF15-CD-0187 Thẻ: VC02 Loại: purchase Merchant: GRAB* RIDE HCM Số tiền: 17.73 USD (~17.73 USD) Trạng thái CSV: success Mô tả: Grab","html/mail_005_e_ZwLjBQVjZGRkZmV3ZQNjAmH5ZmL0ZD.html","","0124; 2026; 0187","2026-08-21T04:25:09.199Z"
6,"e_ZwLjBQVjZGRkZmVmZQNjAmH5ZmN5AN==","wealifytester@yopmail.com","Order confirmation - Vultr","Order confirmation - Vultr","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@vultr.com Email id: EM-0123 Thời điểm CSV: 2026-03-15 23:02  Thanks  Giao dịch thẻ  CSV id: CD-0183 Wealify order_no: WLF15-CD-0183 Thẻ: VC04 Loại: purchase Merchant: VULTR.COM* CLOUD Số tiền: 15.89 EUR (~17.16 USD) Trạng thái CSV: success Mô tả: Vultr","html/mail_006_e_ZwLjBQVjZGRkZmVmZQNjAmH5ZmN5AN.html","","0123; 2026; 0183","2026-08-21T04:25:09.905Z"
7,"e_ZwLjBQVjZGRkZmVjZQNjAmH5ZwH2Aj==","wealifytester@yopmail.com","Order confirmation - Namecheap","Order confirmation - Namecheap","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@namecheap.com Email id: EM-0122 Thời điểm CSV: 2026-04-30 15:47  Thanks  Giao dịch thẻ  CSV id: CD-0177 Wealify order_no: WLF15-CD-0177 Thẻ: VC04 Loại: purchase Merchant: NAMECHEAP* DOMAIN Số tiền: 54.74 EUR (~59.12 USD) Trạng thái CSV: success Mô tả: Namecheap","html/mail_007_e_ZwLjBQVjZGRkZmVjZQNjAmH5ZwH2Aj.html","","0122; 2026; 0177","2026-08-21T04:25:10.612Z"
8,"e_ZwLjBQVjZGRkZmR3ZQNjAmH5ZwRjAj==","wealifytester@yopmail.com","Order confirmation - Apple","Order confirmation - Apple","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@apple.com Email id: EM-0121 Thời điểm CSV: 2026-05-26 02:02  Thanks  Giao dịch thẻ  CSV id: CD-0175 Wealify order_no: WLF15-CD-0175 Thẻ: VC02 Loại: purchase Merchant: APPLE.COM/BILL Số tiền: 64.69 USD (~64.69 USD) Trạng thái CSV: success Mô tả: Apple","html/mail_008_e_ZwLjBQVjZGRkZmR3ZQNjAmH5ZwRjAj.html","","0121; 2026; 0175","2026-08-21T04:25:11.323Z"
9,"e_ZwLjBQVjZGRkZmR1ZQNjAmH5ZGp2AN==","wealifytester@yopmail.com","Order confirmation - Apple","Order confirmation - Apple","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@apple.com Email id: EM-0121 Thời điểm CSV: 2026-05-26 02:02  Thanks  Giao dịch thẻ  CSV id: CD-0175 Wealify order_no: WLF15-CD-0175 Thẻ: VC02 Loại: purchase Merchant: APPLE.COM/BILL Số tiền: 64.69 USD (~64.69 USD) Trạng thái CSV: success Mô tả: Apple","html/mail_009_e_ZwLjBQVjZGRkZmR1ZQNjAmH5ZGp2AN.html","","0121; 2026; 0175","2026-08-21T04:25:12.032Z"
10,"e_ZwLjBQVjZGRkZmRmZQNjAmH5ZGZ0Zj==","wealifytester@yopmail.com","Order confirmation - Vultr","Order confirmation - Vultr","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@vultr.com Email id: EM-0119 Thời điểm CSV: 2026-07-27 05:03  Thanks  Giao dịch thẻ  CSV id: CD-0163 Wealify order_no: WLF15-CD-0163 Thẻ: VC02 Loại: purchase Merchant: VULTR.COM* CLOUD Số tiền: 52.98 USD (~52.98 USD) Trạng thái CSV: success Mô tả: Vultr","html/mail_010_e_ZwLjBQVjZGRkZmRmZQNjAmH5ZGZ0Zj.html","","0119; 2026; 0163","2026-08-21T04:25:12.740Z"
