transaction_id;created_at;type;source_type;card_name;card_last4;reference;amount;currency;status;gateway_ref;merchant_name;mcc;notes
TW082026786190;21/8/26 00:46;N_p ti_n;Ví;Volcano Ads;1;N_p ti_n vào ví t_ th_ ****0001;250;USD;Success;;;;
TW082026186228;21/8/26 00:36;N_p ti_n;Ví;Volcano Ads;1;N_p ti_n vào ví t_ th_ ****0001;250;USD;Success;;;;
WLF15-CD-0038;19/8/26 09:17;Chi tiêu;Th_;Volcano Ads;1;Subscription PADDLE.NET* NOTION;-10;USD;Success;;;;
WLF15-CD-0077;18/8/26 13:49;Chi tiêu;Th_;Volcano Subs;2;Vultr;-18,93;USD;Pending;;;;
WLF15-CD-0144;18/8/26 09:55;Chi tiêu;Th_;Zenith Main;3;The Coffee House;-15,88;USD;Success;;;;
WLF15-CD-0031;16/8/26 10:34;Chi tiêu;Th_;Zenith Main;3;Subscription ADOBE *CREATIVE CLD;-54,99;USD;Success;;;;
WLF15-CD-0211;15/8/26 23:30;Rút ti_n;Th_;Volcano Ads;1;Withdraw to bank;-250;USD;Success;;;;
WLF15-WL-0057;15/8/26 23:30;Rút ti_n;Ví;-;;Rút v_ ngân hàng (_ang x_ l_);-250;USD;Success;;;;
WLF15-CD-0087;14/8/26 20:45;Chi tiêu;Th_;Volcano Ads;1;Namecheap;-56,85;USD;Success;;;;
WLF15-CD-0132;14/8/26 07:01;Chi tiêu;Th_;Volcano Ads;1;Vultr;-44,64;USD;Success;;;;
WLF15-CD-0018;13/8/26 04:35;Chi tiêu;Th_;Volcano Subs;2;Subscription GOOGLE *YOUTUBEPREM;-13,99;USD;Success;;;;
WLF15-CD-0194;12/8/26 06:21;Chi tiêu;Ví;Volcano EU;4;FX fee for APPLE.COM/BILL;-0,58;EUR;Success;;;;
WLF15-CD-0193;12/8/26 06:20;Chi tiêu;Th_;Volcano EU;4;Apple;-57,54;EUR;Success;;;;
WLF15-CD-0012;10/8/26 02:11;Chi tiêu;Th_;Volcano Subs;2;Subscription Spotify P0F2K;-9,99;USD;Success;;;;
WLF15-WL-0056;9/8/26 16:47;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);2001,66;USD;Success;;;;
WLF15-CD-0120;9/8/26 02:50;Chi tiêu;Th_;Zenith Main;3;The Coffee House;-3,73;USD;Success;;;;
WLF15-WL-0144;8/8/26 18:27;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1936,92;USD;Success;;;;
WLF15-WL-0055;8/8/26 03:27;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);1522,1;USD;Success;;;;
WLF15-CD-0006;7/8/26 02:56;Chi tiêu;Th_;Volcano Subs;2;Subscription NETFLIX.COM;-17,99;USD;Success;;;;
WLF15-CD-0162;4/8/26 21:37;Chi tiêu;Th_;Volcano Ads;1;Shopee;-150,23;USD;Success;;;;
WLF15-CD-0024;4/8/26 09:07;Chi tiêu;Th_;Zenith Main;3;Subscription OPENAI *CHATGPT SUBSCR;-20;USD;Success;;;;
WLF15-CD-0118;3/8/26 15:38;Chi tiêu;Th_;Volcano Subs;2;Amazon;-145,34;USD;Success;;;;
WLF15-CD-0115;3/8/26 09:53;Chi tiêu;Th_;Volcano Subs;2;Grab;-10,71;USD;Success;;;;
WLF15-CD-0218;2/8/26 17:47;Chi tiêu;Th_;Zenith Main;3;Unrecognized;-9,99;USD;Success;;;;
WLF15-CD-0083;2/8/26 06:04;Chi tiêu;Th_;Volcano Subs;2;Amazon;-98,71;USD;Success;;;;
