Index,ID,Inbox,From,Subject,Day,Timestamp,Page,Scraped At
1,"e_ZwLjBQVkZQD1BQZ4ZQNjZwZ2AwN0AD==","wealifyjunior@yopmail.com","Wealify","Your parcel is waiting at depot","today","11:58",1,"2026-08-21T07:45:02.075Z"
2,"e_ZwLjBQVkZQD1BQZ2ZQNjZwZ2AGt3Zj==","wealifyjunior@yopmail.com","Wealify","Canva Magic Studio — **% off Pro","today","11:58",1,"2026-08-21T07:45:02.076Z"
3,"e_ZwLjBQVkZQD1BQZ0ZQNjZwZ2AGLmAt==","wealifyjunior@yopmail.com","Wealify","Tặng *GB data *G cuối tuần","today","11:58",1,"2026-08-21T07:45:02.076Z"
4,"e_ZwLjBQVkZQD1BQZlZQNjZwZ2AGD2AD==","wealifyjunior@yopmail.com","Wealify","Action required: verify withdrawal wallet","today","11:58",1,"2026-08-21T07:45:02.076Z"
5,"e_ZwLjBQVkZQD1BQV5ZQNjZwZ2AGV1BN==","wealifyjunior@yopmail.com","Wealify","Your LinkedIn Premium is reserved","today","11:58",1,"2026-08-21T07:45:02.076Z"
6,"e_ZwLjBQVkZQD1BQV5ZQNjZwZ2AGR4BN==","wealifyjunior@yopmail.com","Wealify","Lazada birthday voucher *.*","today","11:58",1,"2026-08-21T07:45:02.076Z"
7,"e_ZwLjBQVkZQD1BQV1ZQNjZwZ2AQt3Zj==","wealifyjunior@yopmail.com","Wealify","GrabUnlimited free ** days","today","11:58",1,"2026-08-21T07:45:02.076Z"
8,"e_ZwLjBQVkZQD1BQVlZQNjZwZ2AQH4BD==","wealifyjunior@yopmail.com","Wealify","Boost TikTok Shop listings this week","today","11:58",1,"2026-08-21T07:45:02.076Z"
9,"e_ZwLjBQVkZQD1BQR5ZQNjZwZ2AQZlZN==","wealifyjunior@yopmail.com","Wealify","$** Facebook Ads credit waiting","today","11:58",1,"2026-08-21T07:45:02.076Z"
10,"e_ZwLjBQVkZQD1BQR4ZQNjZwZ2AQVjBD==","wealifyjunior@yopmail.com","Wealify","Shopee *.* Mega Sale — đến **%","today","11:58",1,"2026-08-21T07:45:02.076Z"
11,"e_ZwLjBQVkZQD1BQR0ZQNjZwZ2ZmxlAN==","wealifyjunior@yopmail.com","Wealify","Payout confirmation Paypal","today","11:58",1,"2026-08-21T07:45:02.076Z"
12,"e_ZwLjBQVkZQD1BQRlZQNjZwZ2ZmL2At==","wealifyjunior@yopmail.com","Wealify","Payout confirmation Payoneer","today","11:58",1,"2026-08-21T07:45:02.076Z"
