Index,ID,Inbox,From,Subject,Date,Page,Body Text,HTML File,Extracted Links,Extracted Codes,Scraped At
1,"e_ZwLjBQVkZQD1BQZ4ZQNjZwZ2AwN0AD==","wealifyjunior@yopmail.com","Your parcel is waiting at depot","Your parcel is waiting at depot","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): delivery@dhl-express-track.com Người nhận: wealifyjunior@yopmail.com Email id: EM-0148 Thời điểm CSV: 2026-08-10 22:51  Pay 2.99 USD customs to release  DHL: lô hàng đang giữ tại depot. Phí customs $2.99 để giải phóng. Đây là mail rác/nghi lừa — không có tracking Wealify.","html/mail_001_e_ZwLjBQVkZQD1BQZ4ZQNjZwZ2AwN0AD.html","","0148; 2026","2026-08-21T07:47:53.621Z"
2,"e_ZwLjBQVkZQD1BQZ2ZQNjZwZ2AGt3Zj==","wealifyjunior@yopmail.com","Canva Magic Studio — 30% off Pro","Canva Magic Studio — 30% off Pro","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): promo@canva.com Người nhận: wealifyjunior@yopmail.com Email id: EM-0147 Thời điểm CSV: 2026-08-11 15:09  Design ads faster this month  Canva Pro giảm 30% gói Magic Studio tháng này. Promo, không phải hóa đơn.","html/mail_002_e_ZwLjBQVkZQD1BQZ2ZQNjZwZ2AGt3Zj.html","","0147; 2026","2026-08-21T07:47:54.337Z"
3,"e_ZwLjBQVkZQD1BQZ0ZQNjZwZ2AGLmAt==","wealifyjunior@yopmail.com","Tặng 5GB data 5G cuối tuần","Tặng 5GB data 5G cuối tuần","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): khuyenmai@viettel.com.vn Người nhận: wealifyjunior@yopmail.com Email id: EM-0146 Thời điểm CSV: 2026-08-12 11:44  Soạn 5G gửi 191  Viettel: soạn 5G gửi 191 nhận 5GB data cuối tuần. Tin khuyến mãi nhà mạng.","html/mail_003_e_ZwLjBQVkZQD1BQZ0ZQNjZwZ2AGLmAt.html","","0146; 2026","2026-08-21T07:47:55.049Z"
4,"e_ZwLjBQVkZQD1BQZlZQNjZwZ2AGD2AD==","wealifyjunior@yopmail.com","Action required: verify withdrawal wallet","Action required: verify withdrawal wallet","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): notice@binance.com Người nhận: wealifyjunior@yopmail.com Email id: EM-0145 Thời điểm CSV: 2026-08-13 03:18  Unusual login from Singapore  Binance: đăng nhập lạ từ Singapore. Nếu không phải bạn, đổi mật khẩu. Email quảng cáo/cảnh báo — không khớp giao dịch Wealify.","html/mail_004_e_ZwLjBQVkZQD1BQZlZQNjZwZ2AGD2AD.html","","0145; 2026","2026-08-21T07:47:55.760Z"
5,"e_ZwLjBQVkZQD1BQV5ZQNjZwZ2AGV1BN==","wealifyjunior@yopmail.com","Your LinkedIn Premium is reserved","Your LinkedIn Premium is reserved","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): messages-noreply@linkedin.com Người nhận: wealifyjunior@yopmail.com Email id: EM-0144 Thời điểm CSV: 2026-08-14 06:55  1 month Premium on us  LinkedIn giữ chỗ Premium 1 tháng. Không trừ thẻ trừ khi bạn bật tự gia hạn.","html/mail_005_e_ZwLjBQVkZQD1BQV5ZQNjZwZ2AGV1BN.html","","0144; 2026","2026-08-21T07:47:56.473Z"
6,"e_ZwLjBQVkZQD1BQV5ZQNjZwZ2AGR4BN==","wealifyjunior@yopmail.com","Lazada birthday voucher 9.9","Lazada birthday voucher 9.9","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): hello@lazada.vn Người nhận: wealifyjunior@yopmail.com Email id: EM-0143 Thời điểm CSV: 2026-08-15 20:22  Mã giảm 111K đơn từ 399K  Lazada tặng voucher sinh nhật 111K cho đơn từ 399K. Áp dụng 9.9. Không phải xác nhận đơn hàng.","html/mail_006_e_ZwLjBQVkZQD1BQV5ZQNjZwZ2AGR4BN.html","","0143; 2026","2026-08-21T07:47:57.184Z"
7,"e_ZwLjBQVkZQD1BQV1ZQNjZwZ2AQt3Zj==","wealifyjunior@yopmail.com","Lazada birthday voucher 9.9","Lazada birthday voucher 9.9","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): hello@lazada.vn Người nhận: wealifyjunior@yopmail.com Email id: EM-0143 Thời điểm CSV: 2026-08-15 20:22  Mã giảm 111K đơn từ 399K  Lazada tặng voucher sinh nhật 111K cho đơn từ 399K. Áp dụng 9.9. Không phải xác nhận đơn hàng.","html/mail_007_e_ZwLjBQVkZQD1BQV1ZQNjZwZ2AQt3Zj.html","","0143; 2026","2026-08-21T07:47:57.893Z"
8,"e_ZwLjBQVkZQD1BQVlZQNjZwZ2AQH4BD==","wealifyjunior@yopmail.com","Boost TikTok Shop listings this week","Boost TikTok Shop listings this week","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): noreply@tiktok.com Người nhận: wealifyjunior@yopmail.com Email id: EM-0141 Thời điểm CSV: 2026-08-17 12:40  Extra 20% ads coupon for sellers  TikTok Shop: coupon +20% ads cho seller. Dùng trước cuối tuần để boost listing.","html/mail_008_e_ZwLjBQVkZQD1BQVlZQNjZwZ2AQH4BD.html","","0141; 2026","2026-08-21T07:47:58.604Z"
9,"e_ZwLjBQVkZQD1BQR5ZQNjZwZ2AQZlZN==","wealifyjunior@yopmail.com","$50 Facebook Ads credit waiting","$50 Facebook Ads credit waiting","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): ads@facebookmail.com Người nhận: wealifyjunior@yopmail.com Email id: EM-0140 Thời điểm CSV: 2026-08-18 21:15  Claim your ads credit before 25 Aug  Facebook Ads Manager: bạn còn $50 credit chưa dùng, hết hạn 25/08. Quảng cáo — không phải biên lai chi tiêu.","html/mail_009_e_ZwLjBQVkZQD1BQR5ZQNjZwZ2AQZlZN.html","","0140; 2026","2026-08-21T07:47:59.316Z"
10,"e_ZwLjBQVkZQD1BQR4ZQNjZwZ2AQVjBD==","wealifyjunior@yopmail.com","Shopee 9.9 Mega Sale — đến 90%","Shopee 9.9 Mega Sale — đến 90%","Wealify <no-reply@wealify.com>",1,"Đây là email sandbox WLF-15 gửi từ mailbox Wealify (SMTP config).  Người gửi gốc (CSV): deal@shopee.vn Người nhận: wealifyjunior@yopmail.com Email id: EM-0139 Thời điểm CSV: 2026-08-19 07:30  Voucher 500K hết hạn tonight  Shopee 9.9: voucher 500.000đ + freeship. Chỉ còn hôm nay. Bấm app Shopee để lấy mã. Không gắn giao dịch Wealify.","html/mail_010_e_ZwLjBQVkZQD1BQR4ZQNjZwZ2AQVjBD.html","","0139; 2026","2026-08-21T07:48:00.026Z"
