Index,ID,Inbox,From,Subject,Day,Timestamp,Page,Scraped At
1,"e_ZwLjBQVkZQD1BGR5ZQNjZwZ3ZQN5AD==","wealifysenior@yopmail.com","Wealify","Your parcel is waiting at depot","today","11:59",1,"2026-08-21T07:54:14.832Z"
2,"e_ZwLjBQVkZQD1BGR4ZQNjZwZ2BGx4ZN==","wealifysenior@yopmail.com","Wealify","Canva Magic Studio — **% off Pro","today","11:59",1,"2026-08-21T07:54:14.833Z"
3,"e_ZwLjBQVkZQD1BGR2ZQNjZwZ2BGt1ZN==","wealifysenior@yopmail.com","Wealify","Tặng *GB data *G cuối tuần","today","11:59",1,"2026-08-21T07:54:14.833Z"
4,"e_ZwLjBQVkZQD1BGRlZQNjZwZ2BGZ2Aj==","wealifysenior@yopmail.com","Wealify","Action required: verify withdrawal wallet","today","11:59",1,"2026-08-21T07:54:14.833Z"
5,"e_ZwLjBQVkZQD1BGN5ZQNjZwZ2BGN1ZD==","wealifysenior@yopmail.com","Wealify","Your LinkedIn Premium is reserved","today","11:59",1,"2026-08-21T07:54:14.833Z"
6,"e_ZwLjBQVkZQD1BGN4ZQNjZwZ2BQt2BD==","wealifysenior@yopmail.com","Wealify","Lazada birthday voucher *.*","today","11:59",1,"2026-08-21T07:54:14.833Z"
7,"e_ZwLjBQVkZQD1BGN1ZQNjZwZ2BQHjZt==","wealifysenior@yopmail.com","Wealify","GrabUnlimited free ** days","today","11:59",1,"2026-08-21T07:54:14.833Z"
8,"e_ZwLjBQVkZQD1BGNlZQNjZwZ2BQR5ZD==","wealifysenior@yopmail.com","Wealify","Boost TikTok Shop listings this week","today","11:59",1,"2026-08-21T07:54:14.833Z"
9,"e_ZwLjBQVkZQD1BGNjZQNjZwZ2Amt5BN==","wealifysenior@yopmail.com","Wealify","$** Facebook Ads credit waiting","today","11:59",1,"2026-08-21T07:54:14.833Z"
10,"e_ZwLjBQVkZQD1BQH4ZQNjZwZ2AmL0BN==","wealifysenior@yopmail.com","Wealify","Shopee *.* Mega Sale — đến **%","today","11:58",1,"2026-08-21T07:54:14.833Z"
11,"e_ZwLjBQVkZQD1BQH1ZQNjZwZ2AmDkAj==","wealifysenior@yopmail.com","Wealify","Payout confirmation Paypal","today","11:58",1,"2026-08-21T07:54:14.833Z"
12,"e_ZwLjBQVkZQD1BQHmZQNjZwZ2AmV1Zt==","wealifysenior@yopmail.com","Wealify","Payout confirmation Payoneer","today","11:58",1,"2026-08-21T07:54:14.833Z"
13,"e_ZwLjBQVkZQD1BQHkZQNjZwZ2AmRjAD==","wealifysenior@yopmail.com","Wealify","PingPong payout completed","today","11:58",1,"2026-08-21T07:54:14.833Z"
14,"e_ZwLjBQVkZQD1BQD5ZQNjZwZ2Awx0BN==","wealifysenior@yopmail.com","Wealify","Etsy deposit sent to your VA","today","11:58",1,"2026-08-21T07:54:14.833Z"
15,"e_ZwLjBQVkZQD1BQD2ZQNjZwZ2AwplAD==","wealifysenior@yopmail.com","Wealify","Payout confirmation Amazon","today","11:58",1,"2026-08-21T07:54:14.833Z"
16,"e_ZwLjBQVkZQD1BQD2ZQNjZwZ2AwL4AD==","wealifysenior@yopmail.com","Wealify","Payout confirmation Paypal","today","11:58",2,"2026-08-21T07:54:14.833Z"
17,"e_ZwLjBQVkZQD1BQDkZQNjZwZ2AwVkZD==","wealifysenior@yopmail.com","Wealify","Payout confirmation Payoneer","today","11:58",2,"2026-08-21T07:54:14.833Z"
18,"e_ZwLjBQVkZQD1AGN2ZQNjZwZmBGNkAt==","wealifysenior@yopmail.com","Wealify","Giao dịch rút tiền từ Tài kho ản ảo đã bị hủy","today","11:55",2,"2026-08-21T07:54:14.833Z"
19,"e_ZwLjBQVkZQD1ZwNjZQNjZwZkZmV1BD==","wealifysenior@yopmail.com","Wealify","[WEALIFY] RÚT TIỀN THÀNH CÔNG: *** USD TỪ CARD VỀ WALLET","today","11:52",2,"2026-08-21T07:54:14.833Z"
20,"e_ZwLjBQVkZQD0AGV1ZQNjZwV1ZmN4ZD==","wealifysenior@yopmail.com","Wealify","[Khẩn] Xác minh tài khoản của  bạn trong **h","today","11:45",2,"2026-08-21T07:54:14.833Z"
21,"e_ZwLjBQVkZQD0AGVlZQNjZwV1ZwHmBN==","wealifysenior@yopmail.com","Wealify","Order confirmation - Shopee","today","11:45",2,"2026-08-21T07:54:14.833Z"
22,"e_ZwLjBQVkZQD0AGR5ZQNjZwV1ZGx1ZN==","wealifysenior@yopmail.com","Wealify","Order confirmation - Shopee","today","11:45",2,"2026-08-21T07:54:14.833Z"
23,"e_ZwLjBQVkZQD0AGR4ZQNjZwV1ZGH3AD==","wealifysenior@yopmail.com","Wealify","Order confirmation - The Coffee House","today","11:45",2,"2026-08-21T07:54:14.833Z"
24,"e_ZwLjBQVkZQD0AGR1ZQNjZwV1ZQt3Zt==","wealifysenior@yopmail.com","Wealify","Order confirmation - Apple","today","11:45",2,"2026-08-21T07:54:14.833Z"
