Index,ID,Inbox,From,Subject,Day,Timestamp,Page,Scraped At
1,"e_ZwLjBQVjZGRlZQH1ZQNjAmL4AwZ5ZN==","wealifytester@yopmail.com","Wealify","[Khẩn] Xác minh tài khoản của  bạn trong **h","Thursday","18:20",1,"2026-08-21T04:11:19.274Z"
2,"e_ZwLjBQVjZGRlZQHkZQNjAmL4AGHmAN==","wealifytester@yopmail.com","Wealify","Order confirmation - Shopee","Thursday","18:20",1,"2026-08-21T04:11:19.274Z"
3,"e_ZwLjBQVjZGRlZQD4ZQNjAmL4AGNjBN==","wealifytester@yopmail.com","Wealify","Order confirmation - Shopee","Thursday","18:20",1,"2026-08-21T04:11:19.274Z"
4,"e_ZwLjBQVjZGRlZQD2ZQNjAmL4AQH4ZD==","wealifytester@yopmail.com","Wealify","Order confirmation - The Coffee House","Thursday","18:20",1,"2026-08-21T04:11:19.274Z"
5,"e_ZwLjBQVjZGRkZmV3ZQNjAmH5ZmL0ZD==","wealifytester@yopmail.com","Wealify","Order confirmation - Grab","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
6,"e_ZwLjBQVjZGRkZmVmZQNjAmH5ZmN5AN==","wealifytester@yopmail.com","Wealify","Order confirmation - Vultr","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
7,"e_ZwLjBQVjZGRkZmVjZQNjAmH5ZwH2Aj==","wealifytester@yopmail.com","Wealify","Order confirmation - Namecheap","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
8,"e_ZwLjBQVjZGRkZmR3ZQNjAmH5ZwRjAj==","wealifytester@yopmail.com","Wealify","Order confirmation - Apple","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
9,"e_ZwLjBQVjZGRkZmR1ZQNjAmH5ZGp2AN==","wealifytester@yopmail.com","Wealify","Order confirmation - Lazada","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
10,"e_ZwLjBQVjZGRkZmRmZQNjAmH5ZGZ0Zj==","wealifytester@yopmail.com","Wealify","Order confirmation - Vultr","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
11,"e_ZwLjBQVjZGRkZmRjZQNjAmH5ZQtkZN==","wealifytester@yopmail.com","Wealify","Order confirmation - Shopee","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
12,"e_ZwLjBQVjZGRkZmN4ZQNjAmH5ZQZ2AD==","wealifytester@yopmail.com","Wealify","Order confirmation - Shopee","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
13,"e_ZwLjBQVjZGRkZmN0ZQNjAmH4BGH1Aj==","wealifytester@yopmail.com","Wealify","Order confirmation - Apple","Thursday","18:13",1,"2026-08-21T04:11:19.274Z"
