Index,ID,Inbox,From,Subject,Date,Page,Body Text,HTML File,Extracted Links,Extracted Codes,Scraped At
1,"e_ZwLjBQVkZGZlAQRkZQNjBQHkAGR1ZD==","wealifytester@yopmail.com","TEST","TEST","Thiều Phạm Quang <phamthieu0605@gmail.com>",1,"TEST","html/mail_001_e_ZwLjBQVkZGZlAQRkZQNjBQHkAGR1ZD.html","","","2026-08-21T13:36:32.460Z"
2,"e_ZwLjBQVkZQx0AwDmZQNjAGHkZQR5At==","wealifytester@yopmail.com","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","Wealify <no-reply@wealify.com>",1,"Kính gửi Quý khách,  Quý khách vừa khởi tạo lệnh rút tiền từ tài khoản Wealify. Để ủy quyền giao dịch này và xác nhận đây là yêu cầu từ Quý khách, vui lòng nhập mã xác nhận dưới đây:  438562  Mã có hiệu lực trong 2 phút. Vui lòng không chia sẻ mã này với bất kỳ ai.  Nếu Quý khách không thực hiện yêu cầu rút tiền này, vui lòng không nhập mã và liên hệ ngay với chúng tôi qua support@wealify.com để được hỗ trợ.  Trân trọng,  Đội ngũ Wealify  Cảm ơn Quý khách đã sử dụng dịch vụ của Wealify.  © 2026 Wealify. Bảo lưu mọi quyền.","html/mail_002_e_ZwLjBQVkZQx0AwDmZQNjAGHkZQR5At.html","","438562; 2026","2026-08-21T13:36:33.271Z"
3,"e_ZwLjBQVkZQx0AGHlZQNjAGHjZQDmBN==","wealifytester@yopmail.com","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","Wealify <no-reply@wealify.com>",1,"Kính gửi Quý khách,  Quý khách vừa khởi tạo lệnh rút tiền từ tài khoản Wealify. Để ủy quyền giao dịch này và xác nhận đây là yêu cầu từ Quý khách, vui lòng nhập mã xác nhận dưới đây:  776875  Mã có hiệu lực trong 2 phút. Vui lòng không chia sẻ mã này với bất kỳ ai.  Nếu Quý khách không thực hiện yêu cầu rút tiền này, vui lòng không nhập mã và liên hệ ngay với chúng tôi qua support@wealify.com để được hỗ trợ.  Trân trọng,  Đội ngũ Wealify  Cảm ơn Quý khách đã sử dụng dịch vụ của Wealify.  © 2026 Wealify. Bảo lưu mọi quyền.","html/mail_003_e_ZwLjBQVkZQx0AGHlZQNjAGHjZQDmBN.html","","776875; 2026","2026-08-21T13:36:34.085Z"
4,"e_ZwLjBQVkZQp1ZGH4ZQNjAQN2ZQNkAt==","wealifytester@yopmail.com","[WEALIFY] XÁC NHẬN YÊU CẦU RÚT TIỀN","[WEALIFY] XÁC NHẬN YÊU CẦU RÚT TIỀN","Wealify <no-reply@wealify.com>",1,"Kính chào Quý khách,  Chúng tôi đã tiếp nhận yêu cầu rút tiền của Quý khách.  Dưới đây là chi tiết giao dịch:  Số tiền rút: 100 USD Phí (0.3%): 0.3 USD Số tiền nhận: 99.7 USDT Mạng: TRX Ví nhận: T9yD...uWwb Thời gian tạo: 2026-08-21 07:51:48  Yêu cầu của Quý khách đang chờ xử lý. Chúng tôi sẽ thông báo ngay khi giao dịch được duyệt.  Nếu Quý khách không thực hiện giao dịch này, vui lòng không thực hiện thêm bất kỳ hành động nào và liên hệ ngay với chúng tôi qua support@wealify.com để được hỗ trợ.  Trân trọng, Đội ngũ Wealify  Cảm ơn Quý khách đã sử dụng dịch vụ của Wealify.  © 2025 Wealify. Mọi quyền được bảo lưu.","html/mail_004_e_ZwLjBQVkZQp1ZGH4ZQNjAQN2ZQNkAt.html","","2026; 2025","2026-08-21T13:36:34.898Z"
5,"e_ZwLjBQVkZQp1ZGDkZQNjAQN1AmH5BN==","wealifytester@yopmail.com","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","Wealify <no-reply@wealify.com>",1,"Kính gửi Quý khách,  Quý khách vừa khởi tạo lệnh rút tiền từ tài khoản Wealify. Để ủy quyền giao dịch này và xác nhận đây là yêu cầu từ Quý khách, vui lòng nhập mã xác nhận dưới đây:  596732  Mã có hiệu lực trong 2 phút. Vui lòng không chia sẻ mã này với bất kỳ ai.  Nếu Quý khách không thực hiện yêu cầu rút tiền này, vui lòng không nhập mã và liên hệ ngay với chúng tôi qua support@wealify.com để được hỗ trợ.  Trân trọng,  Đội ngũ Wealify  Cảm ơn Quý khách đã sử dụng dịch vụ của Wealify.  © 2026 Wealify. Bảo lưu mọi quyền.","html/mail_005_e_ZwLjBQVkZQp1ZGDkZQNjAQN1AmH5BN.html","","596732; 2026","2026-08-21T13:36:35.707Z"
6,"e_ZwLjBQVkZQp1ZGN5ZQNjAQN1ZwxlAt==","wealifytester@yopmail.com","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","Wealify <no-reply@wealify.com>",1,"Kính gửi Quý khách,  Quý khách vừa khởi tạo lệnh rút tiền từ tài khoản Wealify. Để ủy quyền giao dịch này và xác nhận đây là yêu cầu từ Quý khách, vui lòng nhập mã xác nhận dưới đây:  252003  Mã có hiệu lực trong 2 phút. Vui lòng không chia sẻ mã này với bất kỳ ai.  Nếu Quý khách không thực hiện yêu cầu rút tiền này, vui lòng không nhập mã và liên hệ ngay với chúng tôi qua support@wealify.com để được hỗ trợ.  Trân trọng,  Đội ngũ Wealify  Cảm ơn Quý khách đã sử dụng dịch vụ của Wealify.  © 2026 Wealify. Bảo lưu mọi quyền.","html/mail_006_e_ZwLjBQVkZQp1ZGN5ZQNjAQN1ZwxlAt.html","","252003; 2026","2026-08-21T13:36:36.513Z"
7,"e_ZwLjBQVkZQp1ZQDmZQNjAQN0BGR3At==","wealifytester@yopmail.com","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","Wealify <no-reply@wealify.com>",1,"Kính gửi Quý khách,  Quý khách vừa khởi tạo lệnh rút tiền từ tài khoản Wealify. Để ủy quyền giao dịch này và xác nhận đây là yêu cầu từ Quý khách, vui lòng nhập mã xác nhận dưới đây:  662190  Mã có hiệu lực trong 2 phút. Vui lòng không chia sẻ mã này với bất kỳ ai.  Nếu Quý khách không thực hiện yêu cầu rút tiền này, vui lòng không nhập mã và liên hệ ngay với chúng tôi qua support@wealify.com để được hỗ trợ.  Trân trọng,  Đội ngũ Wealify  Cảm ơn Quý khách đã sử dụng dịch vụ của Wealify.  © 2026 Wealify. Bảo lưu mọi quyền.","html/mail_007_e_ZwLjBQVkZQp1ZQDmZQNjAQN0BGR3At.html","","662190; 2026","2026-08-21T13:36:37.325Z"
8,"e_ZwLjBQVkZQplBGNmZQNjZmt0ZQtkBN==","wealifytester@yopmail.com","Here's Your Wealify OTP - Act Fast!","Here's Your Wealify OTP - Act Fast!","Wealify <no-reply@wealify.com>",1,"Greetings, Lê Minh Anh,  Here’s your one-time password (OTP) for your Wealify Virtual Card:  719175  This code will expire in 90 seconds, so be sure to use it quickly. If it’s no longer working, just request a new one.  Didn't request this OTP? Please reach out to us immediately at support@wealify.com.  Stay secure,  Your Wealify Team  	  Need help? Our Customer Success Team is available 24/7.  Contact us:  📧 Email: support@wealify.com 📞 Hotline: +84 962 600 392  Join Our Community      	  Stay Connected","html/mail_008_e_ZwLjBQVkZQplBGNmZQNjZmt0ZQtkBN.html","","719175","2026-08-21T13:36:38.137Z"
9,"e_ZwLjBQVkZQLmZQD4ZQNjZmV0AQpkAj==","wealifytester@yopmail.com","Here's Your Wealify OTP - Act Fast!","Here's Your Wealify OTP - Act Fast!","Wealify <no-reply@wealify.com>",1,"Greetings, Lê Minh Anh,  Here’s your one-time password (OTP) for your Wealify Virtual Card:  166775  This code will expire in 90 seconds, so be sure to use it quickly. If it’s no longer working, just request a new one.  Didn't request this OTP? Please reach out to us immediately at support@wealify.com.  Stay secure,  Your Wealify Team  	  Need help? Our Customer Success Team is available 24/7.  Contact us:  📧 Email: support@wealify.com 📞 Hotline: +84 962 600 392  Join Our Community      	  Stay Connected","html/mail_009_e_ZwLjBQVkZQLmZQD4ZQNjZmV0AQpkAj.html","","166775","2026-08-21T13:36:38.949Z"
10,"e_ZwLjBQVkZQLlBQDlZQNjZmVlZGp0Zj==","wealifytester@yopmail.com","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","[Wealify] XÁC NHẬN LỆNH RÚT TI ỀN","Wealify <no-reply@wealify.com>",1,"Kính gửi Quý khách,  Quý khách vừa khởi tạo lệnh rút tiền từ tài khoản Wealify. Để ủy quyền giao dịch này và xác nhận đây là yêu cầu từ Quý khách, vui lòng nhập mã xác nhận dưới đây:  909812  Mã có hiệu lực trong 2 phút. Vui lòng không chia sẻ mã này với bất kỳ ai.  Nếu Quý khách không thực hiện yêu cầu rút tiền này, vui lòng không nhập mã và liên hệ ngay với chúng tôi qua support@wealify.com để được hỗ trợ.  Trân trọng,  Đội ngũ Wealify  Cảm ơn Quý khách đã sử dụng dịch vụ của Wealify.  © 2026 Wealify. Bảo lưu mọi quyền.","html/mail_010_e_ZwLjBQVkZQLlBQDlZQNjZmVlZGp0Zj.html","","909812; 2026","2026-08-21T13:36:39.759Z"
